hex_id,lat,lon,restaurant_accessibility,grocery_store_accessibility,school_accessibility,hospital_accessibility,marta_stop_accessibility,police_station_accessibility,park_accessibility,crime_incident_accessibility,avg_rent,police_station_norm,grocery_store_norm,hospital_norm,marta_stop_norm,restaurant_norm,park_norm,user_match_score,suitability,suitability_label
8844c1a865fffff,33.71596527901207,-84.34237710323242,0.4386280999265133,0.37791428592846166,16.941963467186977,3.551997402250467,367.6125838266968,11.771927043520613,11.459812186046708,-127.30922943816782,1033.7344720496894,0.539999658631817,0.19804684522794794,0.44696794497315573,0.4393613844612738,0.18396962960214763,0.276773950439619,0.27587412040997616,3,
8844c1aa35fffff,33.70556014782274,-84.39010468585168,0.41394508713778655,0.14815431641036117,18.247053571567722,3.232534338940531,492.82102277870814,14.036823355774903,22.435636922682797,-426.4911249318071,898.0276134122288,0.6706719787273318,0.06391430869671998,0.37651437542350397,0.6447513319117233,0.17361706732679885,0.5567189862850512,0.2762030540033579,3,
8844c1a1abfffff,33.74989784996199,-84.48679018940379,0.06362619404532252,0.15345877838355032,13.623663863400242,2.3320157566582242,406.3284849741192,5.088223364245865,16.664737607425568,-466.94150677919254,769.5515196441809,0.1543859500146332,0.06701102280618651,0.17791630305096284,0.5028703377612473,0.026686131949762066,0.40952871544575936,0.19923969218215268,5,
8844c1ab2dfffff,33.67718192832102,-84.31155250417257,0.00869554521649042,0.04559047946183532,11.587090044446155,2.6095828827502308,147.65607433793895,2.412307236052623,0.94927758059774,-0.02997936194239272,941.8544194107452,0.0,0.004038136032111117,0.23913024941523386,0.07854819723996198,0.00364709017259606,0.008696420278650288,0.03060657793956801,9,
8844c1aabdfffff,33.751938893297805,-84.42529702227426,0.812333557940052,0.36664398836937806,18.678869147999826,3.7293506203217914,640.6961733644899,14.223571464822829,32.56287430354293,-823.4091424072651,879.4219653179191,0.6814463389268298,0.19146731093295188,0.4860809715458714,0.8873233954423749,0.34070937040436694,0.8150202893422093,0.44386496316753654,1,Okay
8844c1a851fffff,33.72755478756309,-84.39360789955646,0.7190533315416967,0.2659215555287086,19.765521936377056,4.014084670080628,631.9311324235726,15.55346007241067,29.538235494440578,-931.0741269673181,911.8566904196358,0.7581737497499466,0.13266613929782542,0.5488754929844137,0.8729453605964488,0.3015857285250962,0.7378750505878638,0.40369131735467606,1,Okay
8844c1a9edfffff,33.756729889652455,-84.31181786728229,0.6073880835713347,0.5859601902661127,17.54363295944347,4.433973201138109,422.6854828798757,10.927046428980287,17.268935219084856,-158.71434603562165,827.567760342368,0.4912545970992547,0.3195028365491164,0.6414766391684373,0.5297020990101682,0.2547510311767475,0.42493914027598706,0.38430630221727735,1,Okay
8844c1a121fffff,33.695922329423425,-84.4472427905417,0.01013759707381928,0.12366673574372633,14.995682656243195,2.6947274742969727,375.89276742762917,11.188671283384675,11.419505161292378,-171.4375633452268,719.1240086517664,0.5063489422728956,0.049618601245078664,0.2579078205690397,0.4529440669778044,0.004251916325102765,0.2757458954405254,0.1745089493216077,6,
8844c1b8b1fffff,33.65872403018441,-84.43512471815413,0.0,0.053710188233544995,12.505185264118982,1.8946485573009606,258.07642645975386,4.3680366890954065,4.302680469471021,-157.13847473052377,801.6493055555555,0.11283505727194623,0.008778374881065521,0.08146045591987128,0.2596800004122063,0.0,0.09422698535740025,0.08076907798937598,8,
8844c1aab7fffff,33.76633649543875,-84.42450653122026,1.0747750221615453,0.4259635318718933,17.659172374325742,3.9211997766960125,604.2466309507761,13.978302019062466,28.07196158320125,-760.0992790802568,904.6691176470588,0.6672956127533444,0.2260977161012467,0.5283908953962535,0.8275321412457236,0.45078270809787613,0.7004768493145698,0.454093454615216,0,Most Suitable
8844c1ab35fffff,33.69997178701907,-84.32441491474243,0.14586014737757566,0.0944306542864583,14.423278491437785,3.131257372370217,254.47472646291624,8.053470725126958,4.072690919386547,-9.962308726442398,715.7635467980296,0.32546475402300457,0.03255074659519361,0.35417901140955277,0.2537718285727164,0.061176740138771175,0.08836096304132182,0.11077228092582896,8,
8844c1a859fffff,33.72075440288933,-84.39870016843574,0.5603089686997675,0.22608484270585483,19.19358300610549,3.664904400561528,598.402080059032,14.996880107541639,27.963646548600444,-726.2276675090151,911.8566904196358,0.7260620831210546,0.10940969758953857,0.4718681665378419,0.8179448321907254,0.23500508392355007,0.6977142089689464,0.3639511676409169,1,Okay
8844c1af63fffff,33.78312291919752,-84.4519177056574,0.4977813770917513,0.22879843441167863,14.32505554369805,3.2641036537808494,428.70596583375044,10.81380657374667,19.49112737452529,-346.9497758085289,953.015350877193,0.4847212672816398,0.11099387667598108,0.3834765916362102,0.5395780042436532,0.20877972838894499,0.4816174927039133,0.2703719741271606,3,
8844c1aa61fffff,33.66916427955815,-84.38739773618003,0.001405163761843937,0.10401323017133873,14.705965019213242,2.6024409368924517,291.61380013425514,9.903535375021988,11.611930419440725,-209.63344617030037,907.1876867901972,0.4322035211888443,0.03814499877340313,0.2375551828832927,0.3146941789634776,0.0005893545279933027,0.2806538178137844,0.13159350505712786,7,
8844c1aaebfffff,33.7231405043852,-84.42687738220744,0.42182661536866295,0.2042811665994941,17.662543966176216,3.3061566753196887,560.5607956708175,13.939120520077596,24.5956019836121,-555.8823919918494,973.6969696969696,0.665035051265619,0.09668083804109101,0.3927508577972568,0.7558705864209835,0.17692274206486538,0.6118101991019258,0.32541072539424454,2,Less Suitable
